fold,q_hat,config,precision,recall,f1,coverage,ece,selective_risk,n
0,0.4,Evidence-Free,0.4,0.6666666666666666,0.5,1.0,0.2,0.36363636363636365,11
0,0.4,Evidence-Cond. (No Cal.),0.4,0.6666666666666666,0.5,1.0,0.2,0.36363636363636365,11
0,0.4,EVICT (No Symb.),0.4,1.0,0.5714285714285715,0.8181818181818182,0.13333333333333333,0.3333333333333333,9
0,0.4,EVICT (Full),0.4,1.0,0.5714285714285715,0.8181818181818182,0.13333333333333333,0.3333333333333333,9
1,0.4,Evidence-Free,0.42857142857142855,1.0,0.6,1.0,0.14545454545454542,0.36363636363636365,11
1,0.4,Evidence-Cond. (No Cal.),0.42857142857142855,1.0,0.6,1.0,0.14545454545454542,0.36363636363636365,11
1,0.4,EVICT (No Symb.),0.42857142857142855,1.0,0.6,0.9090909090909091,0.09999999999999998,0.4,10
1,0.4,EVICT (Full),0.42857142857142855,1.0,0.6,1.0,0.14545454545454542,0.36363636363636365,11
