fold,q_hat,config,precision,recall,f1,coverage,ece,selective_risk,n
0,0.19999999999999996,Evidence-Free,0.4222222222222222,0.95,0.5846153846153845,1.0,0.5306122448979592,0.5510204081632653,49
0,0.19999999999999996,Evidence-Cond. (No Cal.),0.4222222222222222,0.95,0.5846153846153845,1.0,0.5306122448979592,0.5510204081632653,49
0,0.19999999999999996,EVICT (No Symb.),0.4090909090909091,0.9473684210526315,0.5714285714285715,0.9795918367346939,0.5333333333333332,0.5625,48
0,0.19999999999999996,EVICT (Full),0.4222222222222222,0.95,0.5846153846153845,1.0,0.5306122448979592,0.5510204081632653,49
1,0.19999999999999996,Evidence-Free,0.3695652173913043,0.9444444444444444,0.53125,1.0,0.5836734693877551,0.6122448979591837,49
1,0.19999999999999996,Evidence-Cond. (No Cal.),0.3695652173913043,0.9444444444444444,0.53125,1.0,0.5836734693877551,0.6122448979591837,49
1,0.19999999999999996,EVICT (No Symb.),0.3695652173913043,0.9444444444444444,0.53125,1.0,0.5836734693877551,0.6122448979591837,49
1,0.19999999999999996,EVICT (Full),0.3695652173913043,0.9444444444444444,0.53125,1.0,0.5836734693877551,0.6122448979591837,49
2,0.19999999999999996,Evidence-Free,0.36363636363636365,1.0,0.5333333333333333,1.0,0.5387755102040815,0.5714285714285714,49
2,0.19999999999999996,Evidence-Cond. (No Cal.),0.36363636363636365,1.0,0.5333333333333333,1.0,0.5387755102040815,0.5714285714285714,49
2,0.19999999999999996,EVICT (No Symb.),0.35714285714285715,1.0,0.5263157894736842,0.9591836734693877,0.5574468085106382,0.574468085106383,47
2,0.19999999999999996,EVICT (Full),0.3488372093023256,0.9375,0.5084745762711865,1.0,0.5591836734693877,0.5918367346938775,49
3,0.19999999999999996,Evidence-Free,0.3541666666666667,0.9444444444444444,0.5151515151515151,1.0,0.6,0.6530612244897959,49
3,0.19999999999999996,Evidence-Cond. (No Cal.),0.3541666666666667,0.9444444444444444,0.5151515151515151,1.0,0.6,0.6530612244897959,49
3,0.19999999999999996,EVICT (No Symb.),0.3617021276595745,1.0,0.53125,0.9591836734693877,0.6,0.6382978723404256,47
3,0.19999999999999996,EVICT (Full),0.3617021276595745,0.9444444444444444,0.5230769230769231,1.0,0.5795918367346939,0.6326530612244898,49
4,0.19999999999999996,Evidence-Free,0.43478260869565216,1.0,0.6060606060606061,1.0,0.5224489795918368,0.5306122448979592,49
4,0.19999999999999996,Evidence-Cond. (No Cal.),0.43478260869565216,1.0,0.6060606060606061,1.0,0.5224489795918368,0.5306122448979592,49
4,0.19999999999999996,EVICT (No Symb.),0.43478260869565216,1.0,0.6060606060606061,0.9795918367346939,0.5208333333333334,0.5416666666666666,48
4,0.19999999999999996,EVICT (Full),0.43478260869565216,1.0,0.6060606060606061,1.0,0.5224489795918368,0.5306122448979592,49
