fold,q_hat,config,precision,recall,f1,coverage,ece,selective_risk,n
0,0.19999999999999996,Evidence-Free,0.4090909090909091,0.9,0.5625000000000001,1.0,0.45714285714285713,0.5714285714285714,49
0,0.19999999999999996,Evidence-Cond. (No Cal.),0.4090909090909091,0.9,0.5625000000000001,1.0,0.45714285714285713,0.5714285714285714,49
0,0.19999999999999996,EVICT (No Symb.),0.46153846153846156,1.0,0.631578947368421,0.8163265306122449,0.475,0.525,40
0,0.19999999999999996,EVICT (Full),0.4090909090909091,0.9,0.5625000000000001,1.0,0.45714285714285713,0.5714285714285714,49
1,0.4,Evidence-Free,0.3829787234042553,1.0,0.5538461538461539,1.0,0.5632653061224488,0.5918367346938775,49
1,0.4,Evidence-Cond. (No Cal.),0.3829787234042553,1.0,0.5538461538461539,1.0,0.5632653061224488,0.5918367346938775,49
1,0.4,EVICT (No Symb.),0.3829787234042553,1.0,0.5538461538461539,1.0,0.5632653061224488,0.5918367346938775,49
1,0.4,EVICT (Full),0.3829787234042553,1.0,0.5538461538461539,1.0,0.5632653061224488,0.5918367346938775,49
2,0.4,Evidence-Free,0.3333333333333333,1.0,0.5,1.0,0.5224489795918368,0.6530612244897959,49
2,0.4,Evidence-Cond. (No Cal.),0.3333333333333333,1.0,0.5,1.0,0.5224489795918368,0.6530612244897959,49
2,0.4,EVICT (No Symb.),0.3333333333333333,1.0,0.5,1.0,0.5224489795918368,0.6530612244897959,49
2,0.4,EVICT (Full),0.3333333333333333,1.0,0.5,1.0,0.5224489795918368,0.6530612244897959,49
3,0.4,Evidence-Free,0.3541666666666667,0.9444444444444444,0.5151515151515151,1.0,0.5673469387755101,0.6530612244897959,49
3,0.4,Evidence-Cond. (No Cal.),0.3541666666666667,0.9444444444444444,0.5151515151515151,1.0,0.5673469387755101,0.6530612244897959,49
3,0.4,EVICT (No Symb.),0.3541666666666667,0.9444444444444444,0.5151515151515151,1.0,0.5673469387755101,0.6530612244897959,49
3,0.4,EVICT (Full),0.3541666666666667,0.9444444444444444,0.5151515151515151,1.0,0.5673469387755101,0.6530612244897959,49
4,0.4,Evidence-Free,0.4222222222222222,0.95,0.5846153846153845,1.0,0.4530612244897959,0.5510204081632653,49
4,0.4,Evidence-Cond. (No Cal.),0.4222222222222222,0.95,0.5846153846153845,1.0,0.4530612244897959,0.5510204081632653,49
4,0.4,EVICT (No Symb.),0.4222222222222222,0.95,0.5846153846153845,1.0,0.4530612244897959,0.5510204081632653,49
4,0.4,EVICT (Full),0.4222222222222222,0.95,0.5846153846153845,1.0,0.4530612244897959,0.5510204081632653,49
